"","feature","appearances","targets_covered","coverage_rate","mean_rank","median_rank","mean_theil_u","mean_mi","mean_cramer_v","mean_score","strength_score"
"76","Q124",2,2,0.0606060606060606,9,9,0.0390996236337725,0.0535564090604912,0.322131822920924,0.0717398791905033,24
"77","Q136",2,2,0.0606060606060606,9.5,9.5,0.090724628693738,0.100911489641426,0.272214333877059,0.111929657496377,23
"78","Q137",2,2,0.0606060606060606,10,10,0.0943752235883379,0.106063442132061,0.272822799247203,0.115726446717341,22
"79","Q126",2,2,0.0606060606060606,10.5,10.5,0.0336162870066197,0.0458902296398676,0.298139786071133,0.0637508197030455,21
"80","Q128",2,2,0.0606060606060606,10.5,10.5,0.0341336352603434,0.046789610239188,0.300104067666001,0.0645274709945625,21
"81","Q252",2,2,0.0606060606060606,10.5,10.5,0.0680449279245769,0.0867668552583765,0.22880319825425,0.089737333157684,21
"82","Q132",2,2,0.0606060606060606,11,11,0.0821818196091068,0.0899224157899945,0.256889469095572,0.10197476341202,20
"83","Q154",2,2,0.0606060606060606,11,11,0.0189691522665958,0.0235017900371939,0.126267772648278,0.0310588056359435,20
"84","Q39",2,2,0.0606060606060606,11,11,0.0985543930962676,0.122765546360299,0.268617443481207,0.167642476664771,20
"85","Q248",2,2,0.0606060606060606,12,12,0.0327850302797999,0.0597874126236899,0.146979080290493,0.0523051499840362,18
"86","Q129",2,2,0.0606060606060606,12.5,12.5,0.0259675027668874,0.0354383706129511,0.263192310357233,0.052531243879741,17
"87","Q135",2,2,0.0606060606060606,12.5,12.5,0.0640895057725472,0.0612759349371301,0.236248021279221,0.0804612860725895,17
"88","Q246",2,2,0.0606060606060606,12.5,12.5,0.0344744935595675,0.0510266466055449,0.160993192364078,0.0520920093538117,17
"89","Q251",2,2,0.0606060606060606,12.5,12.5,0.063723411921051,0.0813827426675249,0.225152740227462,0.0851641439756343,17
"90","Q194",2,2,0.0606060606060606,13,13,0.0541763222296362,0.0727148039350509,0.209611984579369,0.0752814329762339,16
"91","Q200",2,2,0.0606060606060606,13,13,0.0338192202517508,0.0497029964260229,0.223966566131281,0.0575990876919854,16
"92","Q202",2,2,0.0606060606060606,13.5,13.5,0.0354633218723525,0.049450953705148,0.161920009025632,0.0523052801375191,15
"93","Q77",2,2,0.0606060606060606,14,14,0.0753602618554359,0.0927660209047865,0.256906724197951,0.0987366358044926,14
"94","Q191",2,2,0.0606060606060606,14.5,14.5,0.0495530912121635,0.0662568731623607,0.194850706807929,0.0690939873567992,13
"95","Q123",2,2,0.0606060606060606,15,15,0.0187225917090349,0.0252667587978266,0.224971969819465,0.0413107796467154,12
"96","Q224",2,2,0.0606060606060606,15,15,0.0473016932241854,0.057097016211245,0.200434101577096,0.0655535309555944,12
"97","Q227",2,2,0.0606060606060606,15,15,0.0358742404666177,0.0440732465734812,0.172378878321423,0.0519844060841573,12
"98","Q78",2,2,0.0606060606060606,15,15,0.0804348011958088,0.0998311854497222,0.257876339310543,0.103997870283456,12
"99","Q20",2,2,0.0606060606060606,15.5,15.5,0.0559930437252683,0.0290266929155574,0.225632166370677,0.0648670507468958,11
"100","Q244",2,2,0.0606060606060606,15.5,15.5,0.0317001453133305,0.0588744394419862,0.147061631716358,0.0513885821922299,11
"101","Q218",2,2,0.0606060606060606,16,16,0.0154706249911332,0.0213689993463069,0.138082819601786,0.0295013567587506,10
"102","Q36",2,2,0.0606060606060606,16,16,0.0345376255376708,0.0447548924286258,0.168185283199226,0.0668609764755152,10
"103","Q72",2,2,0.0606060606060606,16,16,0.0430070843469296,0.0505474320977739,0.18686635517135,0.059655115754625,10
"104","Q225",2,2,0.0606060606060606,16.5,16.5,0.0208729256248989,0.00964719349239385,0.106938066810673,0.0474555496824911,9
"105","Q242",2,2,0.0606060606060606,16.5,16.5,0.0283990048461493,0.032181750969241,0.169523357578287,0.0436462639562906,9
"106","Q28",2,2,0.0606060606060606,16.5,16.5,0.0567239765629841,0.0758315273667054,0.234228503008538,0.113757706612673,9
"107","Q70",2,2,0.0606060606060606,16.5,16.5,0.0440363430696673,0.0528495540532461,0.196656718248657,0.06194234388264,9
"108","Q181",2,2,0.0606060606060606,17.5,17.5,0.0423439558001398,0.0558134270722301,0.182511547645964,0.0604015563663493,7
"109","Q192",2,2,0.0606060606060606,17.5,17.5,0.0312745685405191,0.0304400733589398,0.150505296094755,0.0429472927414689,7
"110","Q216",2,2,0.0606060606060606,18,18,0.0217741670655801,0.032017046577594,0.177487639025987,0.0404183781152249,6
"111","Q48",2,2,0.0606060606060606,18,18,0.0280302941970537,0.0420193690100357,0.148762753214615,0.0443002625427045,6
"112","Q215",2,2,0.0606060606060606,18.5,18.5,0.0203701926382568,0.0300017559344035,0.168135052964999,0.038036147659775,5
"113","Q281",2,2,0.0606060606060606,18.5,18.5,0.0159846363999238,0.0226082913559078,0.105705283263582,0.0269437975730848,5
"114","Q143",2,2,0.0606060606060606,19,19,0.0240022590359561,0.0190150317020983,0.134385642514601,0.0335444291836633,4
"115","Q180",2,2,0.0606060606060606,19.5,19.5,0.0420196148239039,0.0554775967378522,0.176074504872003,0.0594624984028983,3
"116","Q157",1,1,0.0303030303030303,1,1,0.252708012885291,0.305241271844284,0.393928833344391,0.282590072618899,20
"117","Q265",1,1,0.0303030303030303,1,1,0.608935487278918,0.19643508546841,0.813675525710714,0.505659370578945,20
"118","Q103",1,1,0.0303030303030303,2,2,0.209764205019165,0.0952532102917285,0.388041877713834,0.193238673870401,19
"119","Q21",1,1,0.0303030303030303,2,2,0.24532384043332,0.11264431053972,0.512524261769431,0.232240023598851,19
"120","Q23",1,1,0.0303030303030303,3,3,0.233614338524295,0.10726770805797,0.509625583598909,0.223311473891859,18
"121","Q101",1,1,0.0303030303030303,4,4,0.181396100044814,0.0819604633131537,0.353281261031625,0.168753925123997,17
